SID,input,Family,Scientific_name,code
1,0,Triakidae,Mustelus manazo,#027_Triakidae_Mustelus_manazo
2,0,Triakidae,Triakis scyllium,#027_Triakidae_Triakis_scyllium
3,0,Carcharhinidae,Carcharhinus limbatus,#029_Carcharhinidae_Carcharhinus_limbatus
4,0,Carcharhinidae,Carcharhinus tjutjot,#029_Carcharhinidae_Carcharhinus_tjutjot
5,0,Carcharhinidae,Negaprion acutidens,#029_Carcharhinidae_Negaprion_acutidens
6,0,Sphyrnidae,Sphyrna lewini,#030_Sphyrnidae_Sphyrna_lewini
7,0,Rajidae,Raja pulchra,#048_Rajidae_Raja_pulchra
8,0,Urolophidae,Urolophus aurantiacus,#053_Urolophidae_Urolophus_aurantiacus
9,0,Dasyatidae,Dasyatidae sp1,#055_Dasyatidae_Dasyatidae_sp1
10,1,Dasyatidae,Hemitrygon akajei,#055_Dasyatidae_Hemitrygon_akajei
11,0,Dasyatidae,Hemitrygon laevigatus,#055_Dasyatidae_Hemitrygon_laevigatus
12,0,Dasyatidae,Hemitrygon matsubarai,#055_Dasyatidae_Hemitrygon_matsubarai
13,0,Dasyatidae,Maculabatis sp cf microphthalma,#055_Dasyatidae_Maculabatis_sp_cf_microphthalma
14,0,Dasyatidae,Pastinachus sephen,#055_Dasyatidae_Pastinachus_sephen
15,0,Potamotrygonidae,Taeniura meyeni,#056_Potamotrygonidae_Taeniura_meyeni
16,0,Gymnuridae,Aetoplatea zonura,#057_Gymnuridae_Aetoplatea_zonura
17,0,Gymnuridae,Gymnura japonica,#057_Gymnuridae_Gymnura_japonica
18,1,Myliobatidae,Aetobatus narutobiei,#058_Myliobatidae_Aetobatus_narutobiei
19,0,Myliobatidae,Aetobatus ocellatus,#058_Myliobatidae_Aetobatus_ocellatus
20,0,Myliobatidae,Rhinoptera javanica,#058_Myliobatidae_Rhinoptera_javanica
21,0,Acipenseridae,Huso huso,#060_Acipenseridae_Huso_huso
22,0,Elopidae,Elops hawaiensis,#069_Elopidae_Elops_hawaiensis
23,0,Megalopidae,Megalops cyprinoides,#070_Megalopidae_Megalops_cyprinoides
24,1,Anguillidae,Anguilla japonica,#074_Anguillidae_Anguilla_japonica
25,1,Anguillidae,Anguilla marmorata,#074_Anguillidae_Anguilla_marmorata
26,0,Moringuidae,Moringuidae sp,#076_Moringuidae_Moringuidae_sp
27,1,Muraenidae,Anarchias seychellensis,#079_Muraenidae_Anarchias_seychellensis
28,0,Muraenidae,Anarchias sp1,#079_Muraenidae_Anarchias_sp1
29,0,Muraenidae,Anarchias sp2,#079_Muraenidae_Anarchias_sp2
30,0,Muraenidae,Anarchias sp3,#079_Muraenidae_Anarchias_sp3
31,0,Muraenidae,Anarchias sp4,#079_Muraenidae_Anarchias_sp4
32,1,Muraenidae,Echidna nebulosa,#079_Muraenidae_Echidna_nebulosa
33,1,Muraenidae,Echidna polyzona,#079_Muraenidae_Echidna_polyzona
34,1,Muraenidae,Enchelycore so cf anatina,#079_Muraenidae_Enchelycore_pardalis
35,0,Muraenidae,Enchelynassa sp cf canina,#079_Muraenidae_Enchelycore_sp_cf_anatina
36,1,Muraenidae,Gymnomuraena zebra,#079_Muraenidae_Enchelynassa_sp_cf_canina
37,1,Muraenidae,Gymnothorax buroensis,#079_Muraenidae_Gymnomuraena_zebra
38,1,Muraenidae,Gymnothorax chilospilus,#079_Muraenidae_Gymnothorax_buroensis
39,1,Muraenidae,Gymnothorax enigmaticus,#079_Muraenidae_Gymnothorax_chilospilus
40,1,Muraenidae,Gymnothorax flavimarginatus,#079_Muraenidae_Gymnothorax_enigmaticus
41,0,Muraenidae,Gymnothorax fuscomaculatus,#079_Muraenidae_Gymnothorax_flavimarginatus
42,0,Muraenidae,Gymnothorax intesi,#079_Muraenidae_Gymnothorax_fuscomaculatus
43,0,Muraenidae,Gymnothorax isingteena,#079_Muraenidae_Gymnothorax_intesi
44,1,Muraenidae,Gymnothorax javanicus,#079_Muraenidae_Gymnothorax_isingteena
45,1,Muraenidae,Gymnothorax kidako,#079_Muraenidae_Gymnothorax_javanicus
46,1,Muraenidae,Gymnothorax meleagris,#079_Muraenidae_Gymnothorax_kidako
47,0,Muraenidae,Gymnothorax phasmatodes,#079_Muraenidae_Gymnothorax_meleagris
48,1,Muraenidae,Gymnothorax pictus,#079_Muraenidae_Gymnothorax_phasmatodes
49,0,Muraenidae,Gymnothorax pindae,#079_Muraenidae_Gymnothorax_pictus
50,0,Muraenidae,Gymnothorax pseudothyrsoideus,#079_Muraenidae_Gymnothorax_pindae
51,0,Muraenidae,Gymnothorax sp cf bacalladoi,#079_Muraenidae_Gymnothorax_pseudothyrsoideus
52,1,Muraenidae,Gymnothorax sp cf eurostus,#079_Muraenidae_Gymnothorax_sp_cf_bacalladoi
53,1,Muraenidae,Gymnothorax sp cf kidako,#079_Muraenidae_Gymnothorax_sp_cf_eurostus
54,1,Muraenidae,Gymnothorax sp2,#079_Muraenidae_Gymnothorax_sp_cf_kidako
55,0,Muraenidae,Gymnothorax sp3,#079_Muraenidae_Gymnothorax_sp2
56,1,Muraenidae,Gymnothorax thyrsoideus,#079_Muraenidae_Gymnothorax_sp3
57,1,Muraenidae,Muraena pardalis,#079_Muraenidae_Gymnothorax_thyrsoideus
58,0,Muraenidae,Muraenidae sp1,#079_Muraenidae_Muraenidae_sp1
59,1,Muraenidae,Muraenidae sp2,#079_Muraenidae_Muraenidae_sp2
60,1,Muraenidae,Uropterygius micropterus,#079_Muraenidae_Uropterygius_micropterus
61,1,Muraenidae,Uropterygius sp1,#079_Muraenidae_Uropterygius_sp1
62,0,Muraenidae,Uropterygius sp2,#079_Muraenidae_Uropterygius_sp2
63,0,Muraenidae,Uropterygius sp3,#079_Muraenidae_Uropterygius_sp3
64,0,Muraenidae,Uropterygius sp4,#079_Muraenidae_Uropterygius_sp4
65,1,Muraenidae,Uropterygius sp5,#079_Muraenidae_Uropterygius_sp5
66,0,Ophichthidae,Bascanichthys sp,#081_Ophichthidae_Bascanichthys_sp
67,0,Ophichthidae,Leiuranus semicinctus,#081_Ophichthidae_Leiuranus_semicinctus
68,0,Ophichthidae,Myrichthys maculosus,#081_Ophichthidae_Myrichthys_maculosus
69,0,Ophichthidae,Myrophinae sp2,#081_Ophichthidae_Myrophinae_sp2
70,0,Ophichthidae,Ophichthidae sp,#081_Ophichthidae_Ophichthidae_sp
71,0,Ophichthidae,Ophisurus macrorhynchos,#081_Ophichthidae_Ophisurus_macrorhynchos
72,1,Ophichthidae,Pisodonophis cancrivorus,#081_Ophichthidae_Pisodonophis_cancrivorus
73,0,Ophichthidae,Scolecenchelys fuscogularis,#081_Ophichthidae_Scolecenchelys_fuscogularis
74,0,Ophichthidae,Scolecenchelys macroptera,#081_Ophichthidae_Scolecenchelys_macroptera
75,0,Ophichthidae,Yirrkala misolensis,#081_Ophichthidae_Yirrkala_misolensis
76,1,Muraenesocidae,Muraenesox cinereus,#084_Muraenesocidae_Muraenesox_cinereus
77,0,Congridae,Conger jordani,#086_Congridae_Conger_jordani_{outgroup}
78,0,Congridae,Conger myriaster,#086_Congridae_Conger_myriaster_{outgroup}
79,0,Congridae,Gnathophis heterognathos,#086_Congridae_Gnathophis_heterognathos
80,1,Engraulidae,Encrasicholina punctifer,#095_Engraulidae_Encrasicholina_punctifer
81,1,Engraulidae,Engraulis japonica,#095_Engraulidae_Engraulis_japonica
82,1,Clupeidae,Clupea pallasii,#097_Clupeidae_Clupea_pallasii
83,1,Clupeidae,Etrumeus micropus,#097_Clupeidae_Etrumeus_micropus
84,1,Clupeidae,Herklotsichthys quadrimaculatus,#097_Clupeidae_Herklotsichthys_quadrimaculatus
85,1,Clupeidae,Ilisha elongata,#097_Clupeidae_Ilisha_elongata
86,1,Clupeidae,Konosirus punctatus,#097_Clupeidae_Konosirus_punctatus
87,1,Clupeidae,Nematalosa come,#097_Clupeidae_Nematalosa_come
88,0,Clupeidae,Nematalosa japonica,#097_Clupeidae_Nematalosa_japonica
89,0,Clupeidae,Sardinella hualiensis,#097_Clupeidae_Sardinella_hualiensis
90,1,Clupeidae,Sardinella zunasi,#097_Clupeidae_Sardinella_zunasi
91,1,Clupeidae,Sardinops melanostictus,#097_Clupeidae_Sardinops_melanostictus
92,1,Clupeidae,Spratelloides delicatulus,#097_Clupeidae_Spratelloides_delicatulus
93,1,Clupeidae,Spratelloides gracilis,#097_Clupeidae_Spratelloides_gracilis
94,1,Clupeidae,Spratelloides sp,#097_Clupeidae_Spratelloides_sp
95,1,Chanidae,Chanos chanos,#098_Chanidae_Chanos_chanos
96,1,Cyprinidae,Tribolodon brandtii brandtii,#102_Cyprinidae_Tribolodon_brandtii_brandtii
97,1,Cyprinidae,Tribolodon brandtii maruta,#102_Cyprinidae_Tribolodon_brandtii_maruta
98,1,Cyprinidae,Tribolodon hakonensis,#102_Cyprinidae_Tribolodon_hakonensis
99,1,Plotosidae,Plotosus japonicus,#151_Plotosidae_Plotosus_japonicus
100,1,Osmeridae,Hypomesus japonicus,#172_Osmeridae_Hypomesus_japonicus
101,1,Osmeridae,Hypomesus olidus,#172_Osmeridae_Hypomesus_olidus
102,0,Osmeridae,Mallotus villosus,#172_Osmeridae_Mallotus_villosus
103,1,Osmeridae,Osmerus dentex,#172_Osmeridae_Osmerus_dentex
104,1,Osmeridae,Plecoglossus altivelis altivelis,#172_Osmeridae_Plecoglossus_altivelis_altivelis
105,1,Osmeridae,Salangichthys ishikawae,#172_Osmeridae_Salangichthys_ishikawae
106,0,Osmeridae,Spirinchus lanceolatus,#172_Osmeridae_Spirinchus_lanceolatus
107,0,Salmonidae,Oncorhynchus gorbuscha,#175_Salmonidae_Oncorhynchus_gorbuscha
108,1,Salmonidae,Oncorhynchus keta,#175_Salmonidae_Oncorhynchus_keta
109,1,Salmonidae,Oncorhynchus masou,#175_Salmonidae_Oncorhynchus_masou
110,0,Salmonidae,Oncorhynchus mykiss,#175_Salmonidae_Oncorhynchus_mykiss
111,0,Salmonidae,Oncorhynchus nerka,#175_Salmonidae_Oncorhynchus_nerka
112,1,Salmonidae,Salvelinus leucomaenis leucomaenis,#175_Salmonidae_Salvelinus_leucomaenis_leucomaenis
113,0,Salmonidae,Salvelinus malma,#175_Salmonidae_Salvelinus_malma
114,1,Synodontidae,Saurida elongata,#187_Synodontidae_Saurida_elongata
115,0,Synodontidae,Saurida gracilis,#187_Synodontidae_Saurida_gracilis
116,0,Synodontidae,Saurida macrolepis,#187_Synodontidae_Saurida_macrolepis
117,0,Synodontidae,Saurida sp1,#187_Synodontidae_Saurida_sp1
118,1,Synodontidae,Saurida sp2,#187_Synodontidae_Saurida_sp2
119,1,Synodontidae,Saurida sp3,#187_Synodontidae_Saurida_sp3
120,0,Synodontidae,Saurida wanieso,#187_Synodontidae_Synodus_sp
121,0,Synodontidae,Synodus dermatogenys,#187_Synodontidae_Saurida_wanieso
122,0,Synodontidae,Synodus sp1,#187_Synodontidae_Synodus_ulae
123,1,Synodontidae,Synodus ulae,#187_Synodontidae_Synodus_dermatogenys
124,1,Synodontidae,Synodus variegatus,#187_Synodontidae_Synodus_variegatus
125,1,Gadidae,Eleginus gracilis,#220_Gadidae_Eleginus_gracilis
126,0,Carapidae,Carapidae sp,#221_Carapidae_Carapidae_sp
127,1,Ophidiidae,Brotula multibarbata,#222_Ophidiidae_Brotula_multibarbata
128,0,Bythitidae,Alionematichthys riukiuensis,#223_Bythitidae_Alionematichthys_riukiuensis
129,0,Bythitidae,Alionematichthys sp1,#223_Bythitidae_Alionematichthys_sp1
130,0,Bythitidae,Alionematichthys sp3,#223_Bythitidae_Alionematichthys_sp3
131,0,Bythitidae,Alionematichthys sp4,#223_Bythitidae_Alionematichthys_sp4
132,0,Bythitidae,Alionematichthys sp5,#223_Bythitidae_Alionematichthys_sp5
133,1,Lophiidae,Lophiomus setigerus,#227_Lophiidae_Lophiomus_setigerus
134,1,Lophiidae,Lophius litulon,#227_Lophiidae_Lophius_litulon
135,0,Antennariidae,Antennarius sp2,#228_Antennariidae_Antennarius_sp2
136,0,Antennariidae,Antennarius striatus,#228_Antennariidae_Antennarius_striatus
137,0,Antennariidae,Histrio histrio,#228_Antennariidae_Histrio_histrio
138,0,Ogcocephalidae,Halieutaea stellata,#233_Ogcocephalidae_Halieutaea_stellata
139,1,Mugilidae,Chelon affinis,#245_Mugilidae_Chelon_haematocheilus
140,1,Mugilidae,Chelon haematocheilus,#245_Mugilidae_Chelon_affinis
141,1,Mugilidae,Chelon macrolepis,#245_Mugilidae_Chelon_macrolepis
142,0,Mugilidae,Chelon sp,#245_Mugilidae_Chelon_sp
143,1,Mugilidae,Crenimugil crenilabis,#245_Mugilidae_Crenimugil_crenilabis
144,0,Mugilidae,Crenimugil sp,#245_Mugilidae_Crenimugil_sp
145,1,Mugilidae,Ellochelon vaigiensis,#245_Mugilidae_Ellochelon_vaigiensis
146,1,Mugilidae,Moolgarda pedaraki,#245_Mugilidae_Moolgarda_pedaraki
147,1,Mugilidae,Moolgarda seheli,#245_Mugilidae_Moolgarda_seheli
148,1,Mugilidae,Mugil cephalus cephalus,#245_Mugilidae_Mugil_cephalus_cephalus
149,0,Mugilidae,Mugilidae sp,#245_Mugilidae_Mugilidae_sp
150,1,Mugilidae,Oedalechilus labiosus,#245_Mugilidae_Oedalechilus_labiosus
151,1,Notocheiridae,Iso flosmaris,#247_Notocheiridae_Iso_flosmaris
152,1,Notocheiridae,Iso hawaiiensis,#247_Notocheiridae_Iso_hawaiiensis
153,1,Atherinidae,Atherina lunata,#251_Atherinidae_Atherina_lunata
154,1,Atherinidae,Atherina woodwardi,#251_Atherinidae_Atherina_woodwardi
155,1,Atherinidae,Atherinomorus lacunosus,#251_Atherinidae_Atherinomorus_lacunosus
156,0,Atherinidae,Atherinomorus regina,#251_Atherinidae_Atherinomorus_regina
157,1,Atherinidae,Atherion elymus,#251_Atherinidae_Atherion_elymus
158,1,Atherinidae,Atherion sp1,#251_Atherinidae_Atherion_sp1
159,0,Atherinidae,Atherion sp2,#251_Atherinidae_Atherion_sp2
160,1,Atherinidae,Hypoatherina panatela,#251_Atherinidae_Hypoatherina_panatela
161,1,Atherinidae,Hypoatherina sp1,#251_Atherinidae_Hypoatherina_sp1
162,1,Atherinidae,Hypoatherina sp2,#251_Atherinidae_Hypoatherina_sp2
163,1,Atherinidae,Hypoatherina temminckii,#251_Atherinidae_Hypoatherina_temminckii
164,1,Atherinidae,Hypoatherina tsurugae,#251_Atherinidae_Hypoatherina_tsurugae
165,1,Atherinidae,Hypoatherina valenciennei,#251_Atherinidae_Hypoatherina_valenciennei
166,0,Exocoetidae,Cypselurus  doederleini spp complex,#253_Exocoetidae_Cypselurus_doederleini_spp_complex
167,1,Exocoetidae,Cypselurus agoo,#253_Exocoetidae_Cypselurus_agoo
168,1,Exocoetidae,Cypselurus cyanopterus,#253_Exocoetidae_Cypselurus_cyanopterus
169,0,Exocoetidae,Cypselurus pinnatibarbatus spp complex,#253_Exocoetidae_Cypselurus_pinnatibarbatus_spp_complex
170,0,Exocoetidae,Cypselurus sp,#253_Exocoetidae_Cypselurus_sp
171,1,Exocoetidae,Exocoetus volitans,#253_Exocoetidae_Exocoetus_volitans
172,0,Exocoetidae,Hirundichthys oxycephalus,#253_Exocoetidae_Hirundichthys_oxycephalus
173,0,Exocoetidae,Oxyporhamphus micropterus micropterus,#253_Exocoetidae_Oxyporhamphus_micropterus_micropterus
174,1,Exocoetidae,Parexocoetus brachypterus,#253_Exocoetidae_Parexocoetus_brachypterus
175,1,Hemiramphidae,Hemiramphidae sp,#254_Hemiramphidae_Hemiramphidae_sp
176,0,Hemiramphidae,Hemiramphus far,#254_Hemiramphidae_Hemiramphus_far
177,0,Hemiramphidae,Hemiramphus lutkei,#254_Hemiramphidae_Hemiramphus_lutkei
178,1,Hemiramphidae,Hyporhamphus sajori,#254_Hemiramphidae_Hyporhamphus_sajori
179,0,Hemiramphidae,Hyporhamphus sp cf yuri,#254_Hemiramphidae_Hyporhamphus_sp_cf_yuri
180,1,Belonidae,Ablennes hians,#255_Belonidae_Ablennes_hians
181,1,Belonidae,Belonidae sp,#255_Belonidae_Belonidae_sp
182,1,Belonidae,Strongylura anastomella,#255_Belonidae_Strongylura_anastomella
183,1,Belonidae,Strongylura incisa,#255_Belonidae_Strongylura_incisa
184,1,Belonidae,Tylosurus acus melanotus,#255_Belonidae_Tylosurus_acus_melanotus
185,1,Belonidae,Tylosurus crocodilus crocodilus,#255_Belonidae_Tylosurus_crocodilus_crocodilus
186,0,Monocentridae,Monocentris japonica,#279_Monocentridae_Monocentris_japonica
187,1,Holocentridae,Myripristis berndti,#282_Holocentridae_Myripristis_berndti
188,1,Holocentridae,Myripristis greenfieldi,#282_Holocentridae_Myripristis_greenfieldi
189,0,Holocentridae,Myripristis kochiensis,#282_Holocentridae_Myripristis_kochiensis
190,0,Holocentridae,Myripristis pralinia,#282_Holocentridae_Myripristis_pralinia
191,0,Holocentridae,Myripristis sp1,#282_Holocentridae_Myripristis_sp1
192,0,Holocentridae,Myripristis sp2,#282_Holocentridae_Myripristis_sp2
193,0,Holocentridae,Myripristis violacea,#282_Holocentridae_Myripristis_violacea
194,1,Holocentridae,Neoniphon sammara,#282_Holocentridae_Neoniphon_sammara
195,0,Holocentridae,Ostichthys kaianus,#282_Holocentridae_Ostichthys_kaianus
196,0,Holocentridae,Ostichthys sp,#282_Holocentridae_Ostichthys_sp
197,0,Holocentridae,Sargocentron caudimaculatum,#282_Holocentridae_Sargocentron_caudimaculatum
198,0,Holocentridae,Sargocentron diadema,#282_Holocentridae_Sargocentron_diadema
199,1,Holocentridae,Sargocentron ittodai,#282_Holocentridae_Sargocentron_ittodai
200,1,Holocentridae,Sargocentron praslin,#282_Holocentridae_Sargocentron_praslin
201,1,Holocentridae,Sargocentron punctatissimum,#282_Holocentridae_Sargocentron_punctatissimum
202,0,Holocentridae,Sargocentron sp,#282_Holocentridae_Sargocentron_sp
203,0,Holocentridae,Sargocentron tiere,#282_Holocentridae_Sargocentron_tiere
204,0,Zeidae,Zeus faber,#288_Zeidae_Zeus_faber
205,1,Hypoptychidae,Hypoptychus dybowskii,#289_Hypoptychidae_Hypoptychus_dybowskii
206,1,Aulorhynchidae,Aulichthys japonicus,#290_Aulorhynchidae_Aulichthys_japonicus
207,1,Gasterosteidae,Gasterosteus aculeatus,#291_Gasterosteidae_Gasterosteus_aculeatus
208,0,Gasterosteidae,Pungitius sp,#291_Gasterosteidae_Pungitius_sp
209,0,Syngnathidae,Corythoichthys haematopterus,#295_Syngnathidae_Corythoichthys_haematopterus
210,0,Syngnathidae,Corythoichthys sp2 cf haematopterus,#295_Syngnathidae_Corythoichthys_sp2_cf_haematopterus
211,0,Syngnathidae,Hippichthys cyanospilos,#295_Syngnathidae_Hippichthys_cyanospilos
212,0,Syngnathidae,Hippichthys sp,#295_Syngnathidae_Hippichthys_sp
213,1,Syngnathidae,Hippocampus coronatus,#295_Syngnathidae_Hippocampus_coronatus
214,1,Syngnathidae,Hippocampus mohnikei,#295_Syngnathidae_Hippocampus_mohnikei
215,0,Syngnathidae,Hippocampus sp,#295_Syngnathidae_Hippocampus_sp
216,0,Syngnathidae,Syngnathidae sp1,#295_Syngnathidae_Syngnathidae_sp1
217,0,Syngnathidae,Syngnathidae sp2,#295_Syngnathidae_Syngnathidae_sp2
218,1,Syngnathidae,Syngnathus schlegeli,#295_Syngnathidae_Syngnathus_schlegeli
219,1,Fistulariidae,Fistularia commersonii,#297_Fistulariidae_Fistularia_commersonii
220,0,Fistulariidae,Fistularia petimba,#297_Fistulariidae_Fistularia_petimba
221,0,Centriscidae,Aeoliscus strigatus,#299_Centriscidae_Aeoliscus_strigatus
222,0,Scorpaenidae,Ablabys taenianotus,#304_Scorpaenidae_Ablabys_taenianotus
223,1,Scorpaenidae,Dendrochirus zebra,#304_Scorpaenidae_Dendrochirus_zebra
224,1,Scorpaenidae,Inimicus japonicus,#304_Scorpaenidae_Inimicus_japonicus
225,0,Scorpaenidae,Minous monodactylus,#304_Scorpaenidae_Minous_monodactylus
226,1,Scorpaenidae,Paracentropogon rubripinnis,#304_Scorpaenidae_Paracentropogon_rubripinnis
227,0,Scorpaenidae,Parascorpaena aurita,#304_Scorpaenidae_Parascorpaena_aurita
228,1,Scorpaenidae,Parascorpaena mossambica,#304_Scorpaenidae_Parascorpaena_mossambica
229,0,Scorpaenidae,Pterois antennata,#304_Scorpaenidae_Pterois_antennata
230,0,Scorpaenidae,Pterois radiata,#304_Scorpaenidae_Pterois_radiata
231,0,Scorpaenidae,Pterois volitans,#304_Scorpaenidae_Pterois_volitans
232,1,Scorpaenidae,Scorpaena miostoma,#304_Scorpaenidae_Scorpaena_miostoma
233,1,Scorpaenidae,Scorpaenidae sp2,#304_Scorpaenidae_Scorpaenidae_sp2
234,0,Scorpaenidae,Scorpaenidae sp3,#304_Scorpaenidae_Scorpaenidae_sp3
235,0,Scorpaenidae,Scorpaenidae sp4,#304_Scorpaenidae_Scorpaenidae_sp4
236,1,Scorpaenidae,Scorpaenodes evides,#304_Scorpaenidae_Scorpaenodes_evides
237,1,Scorpaenidae,Scorpaenodes guamensis,#304_Scorpaenidae_Scorpaenodes_guamensis
238,0,Scorpaenidae,Scorpaenodes kelloggi,#304_Scorpaenidae_Scorpaenodes_kelloggi
239,1,Scorpaenidae,Scorpaenopsis cirrosa,#304_Scorpaenidae_Scorpaenopsis_cirrosa
240,0,Scorpaenidae,Scorpaenopsis neglecta,#304_Scorpaenidae_Scorpaenopsis_neglecta
241,0,Scorpaenidae,Scorpaenopsis ramaraoi,#304_Scorpaenidae_Scorpaenopsis_ramaraoi
242,0,Scorpaenidae,Scorpaenopsis sp,#304_Scorpaenidae_Scorpaenopsis_sp
243,0,Scorpaenidae,Sebastapistes cyanostigma,#304_Scorpaenidae_Sebastapistes_cyanostigma
244,1,Scorpaenidae,Sebastapistes tinkhami,#304_Scorpaenidae_Sebastapistes_tinkhami
245,0,Scorpaenidae,Sebastes spp complex,#304_Scorpaenidae_Sebastes_spp_complex
