SID,input,Family,Scientific_name,code
726,1,Stichaeidae,Stichaeopsis sp,#417_Stichaeidae_Stichaeopsis_sp
727,1,Stichaeidae,Stichaeus grigorjewi,#417_Stichaeidae_Stichaeus_grigorjewi
728,0,Stichaeidae,Stichaeus punctatus,#417_Stichaeidae_Stichaeus_punctatus
729,1,Stichaeidae,Zoarchias glaber,#417_Stichaeidae_Zoarchias_glaber
730,1,Stichaeidae,Zoarchias neglectus,#417_Stichaeidae_Zoarchias_neglectus
731,1,Stichaeidae,Zoarchias veneficus,#417_Stichaeidae_Zoarchias_veneficus
732,1,Pholidae,Pholis crassispina,#419_Pholidae_Pholis_crassispina
733,1,Pholidae,Pholis nebulosa,#419_Pholidae_Pholis_nebulosa
734,1,Pholidae,Pholis sp cf crassispina,#419_Pholidae_Pholis_sp_cf_crassispina
735,1,Pholidae,Rhodymenichthys dolichogaster,#419_Pholidae_Rhodymenichthys_dolichogaster
736,1,Trichodontidae,Arctoscopus japonicus,#434_Trichodontidae_Arctoscopus_japonicus
737,1,Pinguipedidae,Parapercis cylindrica,#435_Pinguipedidae_Parapercis_cylindrica
738,0,Pinguipedidae,Parapercis diplospilus,#435_Pinguipedidae_Parapercis_diplospilus
739,1,Pinguipedidae,Parapercis pulchella,#435_Pinguipedidae_Parapercis_pulchella
740,1,Pinguipedidae,Parapercis snyderi,#435_Pinguipedidae_Parapercis_snyderi
741,0,Trichonotidae,Trichonotus sp,#437_Trichonotidae_Trichonotus_sp
742,0,Creediidae,Limnichthys fasciatus,#438_Creediidae_Limnichthys_fasciatus
743,0,Creediidae,Myopsaron nelsoni,#438_Creediidae_Myopsaron_nelsoni
744,0,Ammodytidae,Ammodytes hexapterus,#441_Ammodytidae_Ammodytes_hexapterus
745,1,Ammodytidae,Ammodytes personatus,#441_Ammodytidae_Ammodytes_personatus
746,0,Uranoscopidae,Uranoscopus chinensis,#443_Uranoscopidae_Uranoscopus_chinensis
747,0,Uranoscopidae,Uranoscopus japonicus,#443_Uranoscopidae_Uranoscopus_japonicus
748,1,Tripterygiidae,Enneapterygius etheostomus,#445_Tripterygiidae_Enneapterygius_etheostomus
749,1,Tripterygiidae,Enneapterygius leucopunctatus,#445_Tripterygiidae_Enneapterygius_leucopunctatus
750,1,Tripterygiidae,Enneapterygius miyakensis,#445_Tripterygiidae_Enneapterygius_miyakensis
751,1,Tripterygiidae,Enneapterygius philippinus,#445_Tripterygiidae_Enneapterygius_philippinus
752,1,Tripterygiidae,Enneapterygius signicauda,#445_Tripterygiidae_Enneapterygius_signicauda
753,0,Tripterygiidae,Enneapterygius similis spp complex,#445_Tripterygiidae_Enneapterygius_similis_spp_complex
754,1,Tripterygiidae,Enneapterygius sp cf leucopunctatus,#445_Tripterygiidae_Enneapterygius_sp_cf_leucopunctatus
755,1,Tripterygiidae,Enneapterygius sp cf philippinus,#445_Tripterygiidae_Enneapterygius_sp_cf_philippinus
756,0,Tripterygiidae,Enneapterygius sp cf sp1,#445_Tripterygiidae_Enneapterygius_sp_cf_sp1
757,1,Tripterygiidae,Enneapterygius sp cf unimaculatus,#445_Tripterygiidae_Enneapterygius_sp_cf_unimaculatus
758,1,Tripterygiidae,Enneapterygius sp1,#445_Tripterygiidae_Enneapterygius_sp1
759,1,Tripterygiidae,Enneapterygius sp2,#445_Tripterygiidae_Enneapterygius_sp2
760,0,Tripterygiidae,Enneapterygius sp3,#445_Tripterygiidae_Enneapterygius_sp3
761,1,Tripterygiidae,Enneapterygius sp4,#445_Tripterygiidae_Enneapterygius_sp4
762,0,Tripterygiidae,Enneapterygius sp5,#445_Tripterygiidae_Enneapterygius_sp5
763,1,Tripterygiidae,Enneapterygius sp6,#445_Tripterygiidae_Enneapterygius_sp6
764,1,Tripterygiidae,Enneapterygius sp7,#445_Tripterygiidae_Enneapterygius_sp7
765,0,Tripterygiidae,Enneapterygius tutuilae spp complex,#445_Tripterygiidae_Enneapterygius_tutuilae_spp_complex
766,1,Tripterygiidae,Enneapterygius unimaculatus,#445_Tripterygiidae_Enneapterygius_unimaculatus
767,1,Tripterygiidae,Helcogramma fuscipectoris,#445_Tripterygiidae_Helcogramma_fuscipectoris
768,0,Tripterygiidae,Helcogramma hudsoni,#445_Tripterygiidae_Helcogramma_hudsoni
769,1,Tripterygiidae,Helcogramma inclinata,#445_Tripterygiidae_Helcogramma_inclinata
770,1,Tripterygiidae,Helcogramma sp cf fuscipectoris,#445_Tripterygiidae_Helcogramma_sp_cf_fuscipectoris
771,1,Tripterygiidae,Helcogramma sp1,#445_Tripterygiidae_Helcogramma_sp1
772,0,Tripterygiidae,Helcogramma sp2,#445_Tripterygiidae_Helcogramma_sp2
773,0,Tripterygiidae,Helcogramma sp3,#445_Tripterygiidae_Helcogramma_sp3
774,0,Tripterygiidae,Helcogramma striata,#445_Tripterygiidae_Helcogramma_striata
775,1,Tripterygiidae,Springerichthys bapturus,#445_Tripterygiidae_Springerichthys_bapturus
776,0,Tripterygiidae,Ucla xenogrammus,#445_Tripterygiidae_Ucla_xenogrammus
777,1,Blenniidae,Alticus saliens,#447_Blenniidae_Alticus_saliens
778,1,Blenniidae,Andamia tetradactyla,#447_Blenniidae_Andamia_tetradactyla
779,1,Blenniidae,Atrosalarias fuscus holomelas,#447_Blenniidae_Atrosalarias_fuscus_holomelas
780,1,Blenniidae,Blenniella bilitonensis,#447_Blenniidae_Blenniella_bilitonensis
781,1,Blenniidae,Blenniella sp1,#447_Blenniidae_Blenniella_sp1
782,1,Blenniidae,Blenniella sp2,#447_Blenniidae_Blenniella_sp2
783,0,Blenniidae,Blenniella sp3,#447_Blenniidae_Blenniella_sp3
784,0,Blenniidae,Blenniidae sp1,#447_Blenniidae_Blenniidae_sp1
785,1,Blenniidae,Blenniidae sp2,#447_Blenniidae_Blenniidae_sp2
786,0,Blenniidae,Blenniidae sp3,#447_Blenniidae_Blenniidae_sp3
787,0,Blenniidae,Blenniidae sp4,#447_Blenniidae_Blenniidae_sp4
788,0,Blenniidae,Blenniidae sp5,#447_Blenniidae_Blenniidae_sp5
789,1,Blenniidae,Blenniiidae sp6,#447_Blenniidae_Blenniiidae_sp6
790,1,Blenniidae,Cirripectes castaneus,#447_Blenniidae_Cirripectes_castaneus
791,1,Blenniidae,Cirripectes imitator,#447_Blenniidae_Cirripectes_imitator
792,1,Blenniidae,Cirripectes sp1,#447_Blenniidae_Cirripectes_sp1
793,0,Blenniidae,Cirripectes sp2,#447_Blenniidae_Cirripectes_sp2
794,1,Blenniidae,Cirripectes sp4,#447_Blenniidae_Cirripectes_sp4
795,0,Blenniidae,Ecsenius bicolor,#447_Blenniidae_Ecsenius_bicolor
796,1,Blenniidae,Ecsenius oculus,#447_Blenniidae_Ecsenius_oculus
797,1,Blenniidae,Ecsenius yaeyamaensis,#447_Blenniidae_Ecsenius_yaeyamaensis
798,1,Blenniidae,Entomacrodus caudofasciatus,#447_Blenniidae_Entomacrodus_caudofasciatus
799,1,Blenniidae,Entomacrodus decussatus,#447_Blenniidae_Entomacrodus_decussatus
800,1,Blenniidae,Entomacrodus sp cf caudofasciatus,#447_Blenniidae_Entomacrodus_sp_cf_caudofasciatus
801,1,Blenniidae,Entomacrodus sp cf striatus,#447_Blenniidae_Entomacrodus_sp_cf_striatus
802,1,Blenniidae,Entomacrodus sp1,#447_Blenniidae_Entomacrodus_sp1
803,0,Blenniidae,Entomacrodus sp2,#447_Blenniidae_Entomacrodus_sp2
804,0,Blenniidae,Entomacrodus sp3,#447_Blenniidae_Entomacrodus_sp3
805,1,Blenniidae,Entomacrodus sp4,#447_Blenniidae_Entomacrodus_sp4
806,1,Blenniidae,Entomacrodus stellifer stellifer,#447_Blenniidae_Entomacrodus_stellifer_stellifer
807,1,Blenniidae,Entomacrodus striatus,#447_Blenniidae_Entomacrodus_striatus
808,1,Blenniidae,Exallias brevis,#447_Blenniidae_Exallias_brevis
809,1,Blenniidae,Istiblennius edentulus,#447_Blenniidae_Istiblennius_edentulus
810,1,Blenniidae,Istiblennius enosimae,#447_Blenniidae_Istiblennius_enosimae
811,0,Blenniidae,Istiblennius sp1,#447_Blenniidae_Istiblennius_sp1
812,1,Blenniidae,Istiblennius sp2,#447_Blenniidae_Istiblennius_sp2
813,0,Blenniidae,Meiacanthus kamoharai,#447_Blenniidae_Meiacanthus_kamoharai
814,1,Blenniidae,Nannosalarias nativitatis,#447_Blenniidae_Nannosalarias_nativitatis
815,0,Blenniidae,Nannosalarias sp,#447_Blenniidae_Nannosalarias_sp
816,1,Blenniidae,Omobranchus elegans,#447_Blenniidae_Omobranchus_elegans
817,1,Blenniidae,Omobranchus fasciolatoceps,#447_Blenniidae_Omobranchus_fasciolatoceps
818,1,Blenniidae,Omobranchus loxozonus,#447_Blenniidae_Omobranchus_loxozonus
819,1,Blenniidae,Omobranchus punctatus,#447_Blenniidae_Omobranchus_punctatus
820,0,Blenniidae,Omobranchus sp1,#447_Blenniidae_Omobranchus_sp1
821,1,Blenniidae,Omobranchus sp2,#447_Blenniidae_Omobranchus_sp2
822,1,Blenniidae,Parablennius yatabei,#447_Blenniidae_Parablennius_yatabei
823,1,Blenniidae,Petroscirtes breviceps,#447_Blenniidae_Petroscirtes_breviceps
824,1,Blenniidae,Petroscirtes mitratus,#447_Blenniidae_Petroscirtes_mitratus
825,0,Blenniidae,Petroscirtes sp,#447_Blenniidae_Petroscirtes_sp
826,0,Blenniidae,Plagiotremus tapeinosoma,#447_Blenniidae_Plagiotremus_tapeinosoma
827,1,Blenniidae,Praealticus bilineatus,#447_Blenniidae_Praealticus_bilineatus
828,1,Blenniidae,Praealticus tanegasimae,#447_Blenniidae_Praealticus_tanegasimae
829,1,Blenniidae,Rhabdoblennius nitidus,#447_Blenniidae_Rhabdoblennius_nitidus
830,1,Blenniidae,Rhabdoblennius sp cf nitidus,#447_Blenniidae_Rhabdoblennius_sp_cf_nitidus
831,1,Blenniidae,Salarias fasciatus,#447_Blenniidae_Salarias_fasciatus
832,1,Blenniidae,Salarias luctuosus,#447_Blenniidae_Salarias_luctuosus
833,1,Blenniidae,Salarias sinuosus,#447_Blenniidae_Salarias_sinuosus
834,1,Chaenopsidae,Neoclinus bryope,#450_Chaenopsidae_Neoclinus_bryope
835,0,Chaenopsidae,Neoclinus nudus,#450_Chaenopsidae_Neoclinus_nudus
836,1,Chaenopsidae,Neoclinus okazakii,#450_Chaenopsidae_Neoclinus_okazakii
837,1,Chaenopsidae,Neoclinus sp1,#450_Chaenopsidae_Neoclinus_sp1
838,0,Chaenopsidae,Neoclinus sp2,#450_Chaenopsidae_Neoclinus_sp2
839,1,Chaenopsidae,Neoclinus sp3,#450_Chaenopsidae_Neoclinus_sp3
840,1,Gobiesocidae,Aspasma minima,#452_Gobiesocidae_Aspasma_minima
841,1,Gobiesocidae,Conidens laticephalus,#452_Gobiesocidae_Conidens_laticephalus
842,0,Gobiesocidae,Discotrema lineatum,#452_Gobiesocidae_Discotrema_lineatum
843,1,Gobiesocidae,Gobiesocidae sp1,#452_Gobiesocidae_Gobiesocidae_sp1
844,1,Gobiesocidae,Gobiesocidae sp3,#452_Gobiesocidae_Gobiesocidae_sp3
845,0,Gobiesocidae,Gobiesocidae sp4,#452_Gobiesocidae_Gobiesocidae_sp4
846,1,Gobiesocidae,Gobiesocidae sp5,#452_Gobiesocidae_Gobiesocidae_sp5
847,1,Gobiesocidae,Lepadichthys frenatus,#452_Gobiesocidae_Lepadichthys_frenatus
848,1,Gobiesocidae,Pherallodus indicus,#452_Gobiesocidae_Pherallodus_indicus
849,0,Callionymidae,Callionymidae sp1,#453_Callionymidae_Callionymidae_sp1
850,0,Callionymidae,Callionymidae sp2,#453_Callionymidae_Callionymidae_sp2
851,0,Callionymidae,Callionymidae sp3,#453_Callionymidae_Callionymidae_sp3
852,0,Callionymidae,Callionymidae sp4,#453_Callionymidae_Callionymidae_sp4
853,0,Callionymidae,Callionymidae sp5,#453_Callionymidae_Callionymidae_sp5
854,1,Callionymidae,Callionymidae sp6,#453_Callionymidae_Callionymidae_sp6
855,0,Callionymidae,Callionymidae sp7,#453_Callionymidae_Callionymidae_sp7
856,1,Callionymidae,Callionymidae sp8,#453_Callionymidae_Callionymidae_sp8
857,0,Callionymidae,Diplogrammus xenicus,#453_Callionymidae_Diplogrammus_xenicus
858,0,Callionymidae,Neosynchiropus ocellatus,#453_Callionymidae_Neosynchiropus_ocellatus
859,1,Callionymidae,Paradiplogrammus enneactis,#453_Callionymidae_Paradiplogrammus_enneactis
860,0,Callionymidae,Repomucenus beniteguri,#453_Callionymidae_Repomucenus_beniteguri
861,1,Callionymidae,Repomucenus curvicornis,#453_Callionymidae_Repomucenus_curvicornis
862,1,Callionymidae,Repomucenus ornatipinnis,#453_Callionymidae_Repomucenus_ornatipinnis
863,0,Callionymidae,Repomucenus planus,#453_Callionymidae_Repomucenus_planus
864,1,Callionymidae,Repomucenus valenciennei,#453_Callionymidae_Repomucenus_valenciennei
865,0,Eleotridae,Bostrychus sinensis,#457_Eleotridae_Bostrychus_sinensis
866,0,Eleotridae,Eleotridae sp1,#457_Eleotridae_Eleotridae_sp1
867,0,Eleotridae,Eleotridae sp2,#457_Eleotridae_Eleotridae_sp2
868,0,Eleotridae,Eleotridae sp3,#457_Eleotridae_Eleotridae_sp3
869,1,Eleotridae,Eleotris acanthopoma,#457_Eleotridae_Eleotris_acanthopoma
870,0,Eleotridae,Eleotris fusca,#457_Eleotridae_Eleotris_fusca
871,0,Eleotridae,Eleotris melanosoma,#457_Eleotridae_Eleotris_melanosoma
872,0,Eleotridae,Eleotris oxycephala,#457_Eleotridae_Eleotris_oxycephala
873,0,Eleotridae,Ophiocara porocephala,#457_Eleotridae_Ophiocara_porocephala
874,0,Eleotridae,Ophiocara sp cf porocephala,#457_Eleotridae_Ophiocara_sp_cf_porocephala
875,0,Kraemeriidae,Kraemeria cunicularia,#459_Kraemeriidae_Kraemeria_cunicularia
876,0,Kraemeriidae,Kraemeriidae sp1,#459_Kraemeriidae_Kraemeriidae_sp1
877,0,Kraemeriidae,Kraemeriidae sp2,#459_Kraemeriidae_Kraemeriidae_sp2
878,1,Gobiidae,Acanthogobius flavimanus,#460_Gobiidae_Acanthogobius_flavimanus
879,1,Gobiidae,Acanthogobius hasta,#460_Gobiidae_Acanthogobius_hasta
880,1,Gobiidae,Acanthogobius lactipes,#460_Gobiidae_Acanthogobius_lactipes
881,0,Gobiidae,Acentrogobius janthinopterus,#460_Gobiidae_Acentrogobius_janthinopterus
882,1,Gobiidae,Acentrogobius pflaumii,#460_Gobiidae_Acentrogobius_pflaumii
883,1,Gobiidae,Acentrogobius virgatulus,#460_Gobiidae_Acentrogobius_virgatulus
884,1,Gobiidae,Amblychaeturichthys hexanema,#460_Gobiidae_Amblychaeturichthys_hexanema
885,0,Gobiidae,Amblychaeturichthys sciistius,#460_Gobiidae_Amblychaeturichthys_sciistius
886,0,Gobiidae,Amblyeleotris sp,#460_Gobiidae_Amblyeleotris_sp
887,0,Gobiidae,Amblyeleotris steinitzi,#460_Gobiidae_Amblyeleotris_steinitzi
888,0,Gobiidae,Amblyeleotris wheeleri,#460_Gobiidae_Amblyeleotris_wheeleri
889,1,Gobiidae,Amblygobius phalaena,#460_Gobiidae_Amblygobius_phalaena
890,0,Gobiidae,Amoya sp,#460_Gobiidae_Amoya_sp
891,0,Gobiidae,Asterropteryx ensifera,#460_Gobiidae_Asterropteryx_ensifera
892,1,Gobiidae,Asterropteryx semipunctata,#460_Gobiidae_Asterropteryx_semipunctata
893,0,Gobiidae,Barbuligobius boehlkei,#460_Gobiidae_Barbuligobius_boehlkei
894,1,Gobiidae,Bathygobius coalitus,#460_Gobiidae_Bathygobius_coalitus
895,1,Gobiidae,Bathygobius cocosensis,#460_Gobiidae_Bathygobius_cocosensis
896,0,Gobiidae,Bathygobius cyclopterus,#460_Gobiidae_Bathygobius_cyclopterus
897,0,Gobiidae,Bathygobius cyclopterus spp complex,#460_Gobiidae_Bathygobius_cyclopterus_spp_complex
898,1,Gobiidae,Bathygobius fuscus,#460_Gobiidae_Bathygobius_fuscus
899,0,Gobiidae,Bathygobius laddi,#460_Gobiidae_Bathygobius_laddi
900,0,Gobiidae,Bathygobius sp,#460_Gobiidae_Bathygobius_sp
901,0,Gobiidae,Boleophthalmus pectinirostris,#460_Gobiidae_Boleophthalmus_pectinirostris
902,0,Gobiidae,Cabillus lacertops,#460_Gobiidae_Cabillus_lacertops
903,1,Gobiidae,Cabillus sp,#460_Gobiidae_Cabillus_sp
904,1,Gobiidae,Callogobius okinawae,#460_Gobiidae_Callogobius_okinawae
905,0,Gobiidae,Callogobius sclateri,#460_Gobiidae_Callogobius_sclateri
906,1,Gobiidae,Callogobius shunkan,#460_Gobiidae_Callogobius_shunkan
907,0,Gobiidae,Callogobius sp1,#460_Gobiidae_Callogobius_sp1
908,0,Gobiidae,Callogobius sp2,#460_Gobiidae_Callogobius_sp2
909,0,Gobiidae,Callogobius sp3,#460_Gobiidae_Callogobius_sp3
910,0,Gobiidae,Callogobius sp4,#460_Gobiidae_Callogobius_sp4
911,1,Gobiidae,Callogobius tanegasimae,#460_Gobiidae_Callogobius_tanegasimae
912,1,Gobiidae,Chaenogobius annularis,#460_Gobiidae_Chaenogobius_annularis
913,1,Gobiidae,Chaenogobius gulosus,#460_Gobiidae_Chaenogobius_gulosus
914,0,Gobiidae,Chaeturichthys stigmatias,#460_Gobiidae_Chaeturichthys_stigmatias
915,1,Gobiidae,Clariger cosmurus,#460_Gobiidae_Clariger_cosmurus
916,0,Gobiidae,Clariger sp cf cosmurus,#460_Gobiidae_Clariger_sp_cf_cosmurus
917,1,Gobiidae,Clariger sp1,#460_Gobiidae_Clariger_sp1
918,1,Gobiidae,Clariger sp2,#460_Gobiidae_Clariger_sp2
919,0,Gobiidae,Clariger sp3,#460_Gobiidae_Clariger_sp3
920,1,Gobiidae,Clariger sp4,#460_Gobiidae_Clariger_sp4
921,1,Gobiidae,Clariger sp5,#460_Gobiidae_Clariger_sp5
922,0,Gobiidae,Clariger sp6,#460_Gobiidae_Clariger_sp6
923,0,Gobiidae,Clariger sp7,#460_Gobiidae_Clariger_sp7
924,1,Gobiidae,Clariger sp8,#460_Gobiidae_Clariger_sp8
925,1,Gobiidae,Clariger sp9,#460_Gobiidae_Clariger_sp9
926,0,Gobiidae,Cryptocentroides insignis,#460_Gobiidae_Cryptocentroides_insignis
927,0,Gobiidae,Cryptocentrus caeruleomaculatus,#460_Gobiidae_Cryptocentrus_caeruleomaculatus
928,0,Gobiidae,Cryptocentrus sp1,#460_Gobiidae_Cryptocentrus_sp1
929,0,Gobiidae,Cryptocentrus sp2,#460_Gobiidae_Cryptocentrus_sp2
930,1,Gobiidae,Ctenogobiops sp1,#460_Gobiidae_Ctenogobiops_sp1
931,1,Gobiidae,Ctenogobiops sp2,#460_Gobiidae_Ctenogobiops_sp2
932,0,Gobiidae,Drombus sp,#460_Gobiidae_Drombus_sp
933,0,Gobiidae,Eutaeniichthys gilli,#460_Gobiidae_Eutaeniichthys_gilli
934,1,Gobiidae,Eviota abax,#460_Gobiidae_Eviota_abax
935,0,Gobiidae,Eviota bifasciata,#460_Gobiidae_Eviota_bifasciata
936,0,Gobiidae,Eviota distigma,#460_Gobiidae_Eviota_distigma
937,1,Gobiidae,Eviota fasciola,#460_Gobiidae_Eviota_fasciola
938,0,Gobiidae,Eviota japonica,#460_Gobiidae_Eviota_japonica
939,0,Gobiidae,Eviota saipanensis,#460_Gobiidae_Eviota_saipanensis
940,1,Gobiidae,Eviota smaragdus,#460_Gobiidae_Eviota_smaragdus
941,0,Gobiidae,Eviota sp cf abax,#460_Gobiidae_Eviota_sp_cf_abax
942,0,Gobiidae,Eviota sp cf distigma,#460_Gobiidae_Eviota_sp_cf_distigma
943,1,Gobiidae,Eviota sp02,#460_Gobiidae_Eviota_sp02
944,0,Gobiidae,Eviota sp03,#460_Gobiidae_Eviota_sp03
945,1,Gobiidae,Eviota sp04,#460_Gobiidae_Eviota_sp04
946,1,Gobiidae,Eviota sp05,#460_Gobiidae_Eviota_sp05
947,1,Gobiidae,Eviota sp06,#460_Gobiidae_Eviota_sp06
948,1,Gobiidae,Eviota sp07,#460_Gobiidae_Eviota_sp07
949,1,Gobiidae,Eviota sp08,#460_Gobiidae_Eviota_sp08
950,0,Gobiidae,Eviota sp10,#460_Gobiidae_Eviota_sp10
951,1,Gobiidae,Eviota sp11,#460_Gobiidae_Eviota_sp11
952,1,Gobiidae,Eviota sp12,#460_Gobiidae_Eviota_sp12
953,1,Gobiidae,Eviota sp13,#460_Gobiidae_Eviota_sp13
954,1,Gobiidae,Favonigobius gymnauchen,#460_Gobiidae_Favonigobius_gymnauchen
955,0,Gobiidae,Favonigobius reichei,#460_Gobiidae_Favonigobius_reichei
956,1,Gobiidae,Glossogobius olivaceus,#460_Gobiidae_Glossogobius_olivaceus
957,0,Gobiidae,Gnatholepis anjerensis,#460_Gobiidae_Gnatholepis_anjerensis
958,1,Gobiidae,Gnatholepis cauerensis,#460_Gobiidae_Gnatholepis_cauerensis
959,1,Gobiidae,Gobiidae sp01,#460_Gobiidae_Gobiidae_sp01
960,0,Gobiidae,Gobiidae sp02,#460_Gobiidae_Gobiidae_sp02
961,1,Gobiidae,Gobiidae sp03,#460_Gobiidae_Gobiidae_sp03
962,0,Gobiidae,Gobiidae sp04,#460_Gobiidae_Gobiidae_sp04
963,0,Gobiidae,Gobiidae sp05,#460_Gobiidae_Gobiidae_sp05
964,1,Gobiidae,Gobiidae sp06,#460_Gobiidae_Gobiidae_sp06
965,1,Gobiidae,Gobiidae sp07,#460_Gobiidae_Gobiidae_sp07
966,0,Gobiidae,Gobiidae sp08,#460_Gobiidae_Gobiidae_sp08
967,0,Gobiidae,Gobiidae sp09,#460_Gobiidae_Gobiidae_sp09
968,0,Gobiidae,Gobiidae sp10,#460_Gobiidae_Gobiidae_sp10
969,0,Gobiidae,Gobiidae sp11,#460_Gobiidae_Gobiidae_sp11
970,0,Gobiidae,Gobiidae sp12,#460_Gobiidae_Gobiidae_sp12
971,0,Gobiidae,Gobiidae sp13,#460_Gobiidae_Gobiidae_sp13
972,0,Gobiidae,Gobiidae sp14,#460_Gobiidae_Gobiidae_sp14
973,0,Gobiidae,Gobiidae sp15,#460_Gobiidae_Gobiidae_sp15
974,1,Gobiidae,Gobiidae sp16,#460_Gobiidae_Gobiidae_sp16
975,0,Gobiidae,Gobiidae sp17,#460_Gobiidae_Gobiidae_sp17
976,1,Gobiidae,Gobiidae sp18,#460_Gobiidae_Gobiidae_sp18
977,0,Gobiidae,Gobiidae sp19,#460_Gobiidae_Gobiidae_sp19
978,0,Gobiidae,Gobiidae sp20,#460_Gobiidae_Gobiidae_sp20
979,1,Gobiidae,Gobiidae sp21,#460_Gobiidae_Gobiidae_sp21
980,0,Gobiidae,Gobiidae sp22,#460_Gobiidae_Gobiidae_sp22
